Optimizer,Test Accuracy,Test Loss,Training Time (s)
Adam,0.9866999983787537,0.21658925712108612,73.51857233047485
SGD,0.9829000234603882,0.17641787230968475,72.47906756401062
RMSprop,0.98580002784729,0.12789767980575562,69.55493402481079
Adagrad,0.9804999828338623,0.12406527996063232,72.6630642414093
AdamW,0.984000027179718,0.2178734838962555,74.8237190246582
