Architecture;Parameters;Test Accuracy;Test Loss;Training Time (s);;
Original (32;3x3;2 layers);421642;0.9873999953269958;0.1992785632610321;63.48339033126831
64 filters;5x5;3 layers;475722;0.9915000200271606;0.10411146283149719;165.19508838653564
128 filters;3x3;2 layers;3365770;0.9848999977111816;0.24825020134449005;331.9032983779907
64 filters;7x7;2 layers;405386;0.991100013256073;0.12840166687965393;183.9152374267578
