Activation;Test Accuracy;Test Loss;Training Time (s)
relu;0.9843999743461609;0.2203490287065506;71.76714611053467
sigmoid;0.9503999948501587;0.4338611960411072;74.3314597606659
tanh;0.980400025844574;0.27634844183921814;75.32793021202087
elu;0.98089998960495;0.22506083548069;74.2691638469696
leaky_relu;0.9858999848365784;0.22503279149532318;75.8251371383667
