Optimizer,Test Accuracy,Test Loss,Training Time (s)
Adam,0.9909,0.025538405006374,98.08269929885864
SGD,0.9925,0.023367452627488468,95.30352425575256
RMSprop,0.9911,0.02772109777036061,96.62295770645142
Adagrad,0.9875,0.03640161480131229,96.2125289440155
AdamW,0.9929,0.02077150898819177,97.36164093017578
