Activation,Test Accuracy,Test Loss,Training Time (s)
relu,0.994,0.019022287308621447,97.40837001800537
sigmoid,0.9872,0.037612288823408585,96.87716817855835
tanh,0.9889,0.034398324464708335,96.41559362411499
elu,0.9903,0.03230582082890547,100.50893759727478
leaky_relu,0.9921,0.02448292624658991,93.83683323860168
